pt,eta,m
25.425973541479426,3.3899727842078757,7.210829212029252
19.38426838643532,-2.2264724312433675,4.940888635018613
12.019482608698311,1.7377047604888647,6.671551849243314
4.118477623409108,0.981058208612941,2.3690413802846306
4.070582559375079,-0.22492429567807123,2.3285876831086623
2.487682330918309,-0.8177598891625233,1.3796583711669919
2.1864737162176358,-1.8293104858994278,2.1299068355434225
2.125720970693987,2.418204608888062,1.8245962501869402
1.986731603795744,-8.097398676211913,2.234241203271326
1.7682801418035814,-1.5580514503303071,1.742592726752077
1.6337885215517716,1.786135408697485,0.8683760196849447
